in s,C1 in V
-5.9845939E-01,-1.87012E+00
-5.9845018E-01,-1.87988E+00
-5.9844096E-01,-1.86035E+00
-5.9843174E-01,-1.86035E+00
-5.9842253E-01,-1.85059E+00
-5.9841331E-01,-1.86035E+00
-5.9840410E-01,-1.86035E+00
-5.9839488E-01,-1.86035E+00
-5.9838566E-01,-1.87988E+00
-5.9837645E-01,-1.87988E+00
-5.9836723E-01,-1.87012E+00
-5.9835802E-01,-1.88965E+00
-5.9834880E-01,-1.86035E+00
-5.9833958E-01,-1.87988E+00
-5.9833037E-01,-1.89941E+00
-5.9832115E-01,-1.86035E+00
-5.9831194E-01,-1.86035E+00
-5.9830272E-01,-1.87988E+00
-5.9829350E-01,-1.86035E+00
-5.9828429E-01,-1.86035E+00
-5.9827507E-01,-1.89941E+00
-5.9826586E-01,-1.86035E+00
-5.9825664E-01,-1.86035E+00
-5.9824742E-01,-1.86035E+00
-5.9823821E-01,-1.86035E+00
-5.9822899E-01,-1.84082E+00
-5.9821978E-01,-1.85059E+00
-5.9821056E-01,-1.87012E+00
-5.9820134E-01,-1.89941E+00
-5.9819213E-01,-1.86035E+00
-5.9818291E-01,-1.87988E+00
-5.9817370E-01,-1.88965E+00
-5.9816448E-01,-1.85059E+00
-5.9815526E-01,-1.86035E+00
-5.9814605E-01,-1.87988E+00
-5.9813683E-01,-1.86035E+00
-5.9812762E-01,-1.87012E+00
-5.9811840E-01,-1.87988E+00
-5.9810918E-01,-1.87012E+00
-5.9809997E-01,-1.84082E+00
-5.9809075E-01,-1.88965E+00
-5.9808154E-01,-1.86035E+00
-5.9807232E-01,-1.87012E+00
-5.9806310E-01,-1.87012E+00
-5.9805389E-01,-1.86035E+00
-5.9804467E-01,-1.86035E+00
-5.9803546E-01,-1.86035E+00
-5.9802624E-01,-1.88965E+00
-5.9801702E-01,-1.90918E+00
-5.9800781E-01,-1.87988E+00
-5.9799859E-01,-1.87012E+00
-5.9798938E-01,-1.86035E+00
-5.9798016E-01,-1.86035E+00
-5.9797094E-01,-1.88965E+00
