in s,C1 in V
-6.1833624E+00,1.92383E+00
-6.1832700E+00,2.00195E+00
-6.1831776E+00,1.90430E+00
-6.1830852E+00,1.98242E+00
-6.1829928E+00,1.86523E+00
-6.1829004E+00,1.96289E+00
-6.1828080E+00,1.94336E+00
-6.1827156E+00,1.94336E+00
-6.1826232E+00,1.94336E+00
-6.1825308E+00,1.88477E+00
-6.1824384E+00,1.90430E+00
-6.1823460E+00,1.96289E+00
-6.1822536E+00,1.94336E+00
-6.1821612E+00,1.94336E+00
-6.1820688E+00,1.94336E+00
-6.1819764E+00,1.94336E+00
-6.1818840E+00,1.96289E+00
-6.1817916E+00,1.94336E+00
-6.1816992E+00,1.94336E+00
-6.1816068E+00,1.98242E+00
-6.1815144E+00,1.90430E+00
-6.1814220E+00,1.92383E+00
-6.1813296E+00,1.98242E+00
-6.1812372E+00,1.94336E+00
-6.1811448E+00,2.02148E+00
-6.1810524E+00,1.98242E+00
-6.1809600E+00,1.94336E+00
-6.1808676E+00,1.98242E+00
-6.1807752E+00,1.92383E+00
-6.1806828E+00,1.98242E+00
-6.1805904E+00,1.96289E+00
-6.1804980E+00,1.98242E+00
-6.1804056E+00,1.90430E+00
-6.1803132E+00,1.90430E+00
-6.1802208E+00,1.94336E+00
-6.1801284E+00,1.96289E+00
-6.1800360E+00,1.92383E+00
-6.1799436E+00,1.92383E+00
-6.1798512E+00,2.02148E+00
-6.1797588E+00,1.90430E+00
-6.1796664E+00,1.96289E+00
-6.1795740E+00,2.06055E+00
-6.1794816E+00,1.96289E+00
-6.1793892E+00,1.94336E+00
-6.1792968E+00,1.86523E+00
-6.1792044E+00,1.94336E+00
-6.1791120E+00,2.06055E+00
-6.1790196E+00,1.96289E+00
-6.1789272E+00,1.94336E+00
-6.1788348E+00,1.94336E+00
-6.1787424E+00,1.92383E+00
-6.1786500E+00,1.92383E+00
-6.1785576E+00,1.92383E+00
-6.1784652E+00,1.96289E+00
-6.1783728E+00,1.92383E+00
-6.1782804E+00,1.94336E+00
-6.1781880E+00,1.92383E+00
-6.1780956E+00,1.96289E+00
-6.1780032E+00,1.90430E+00
-6.1779108E+00,1.88477E+00
-6.1778184E+00,1.88477E+00
-6.1777260E+00,2.02148E+00
-6.1776336E+00,1.98242E+00
-6.1775412E+00,2.00195E+00
-6.1774488E+00,1.90430E+00
-6.1773564E+00,2.02148E+00
-6.1772640E+00,1.96289E+00
-6.1771716E+00,1.96289E+00
-6.1770792E+00,1.88477E+00
-6.1769868E+00,2.00195E+00
-6.1768944E+00,1.94336E+00
-6.1768020E+00,1.94336E+00
-6.1767096E+00,1.88477E+00
-6.1766172E+00,2.02148E+00
-6.1765248E+00,1.88477E+00
-6.1764324E+00,1.92383E+00
-6.1763400E+00,2.00195E+00
-6.1762476E+00,1.96289E+00
-6.1761552E+00,1.88477E+00
-6.1760628E+00,1.94336E+00
-6.1759704E+00,1.96289E+00
-6.1758780E+00,1.96289E+00
-6.1757856E+00,1.98242E+00
-6.1756932E+00,2.00195E+00
-6.1756008E+00,1.94336E+00
-6.1755084E+00,2.00195E+00
-6.1754160E+00,1.92383E+00
-6.1753236E+00,2.00195E+00
-6.1752312E+00,1.92383E+00
-6.1751388E+00,1.92383E+00
-6.1750464E+00,1.92383E+00
-6.1749540E+00,1.98242E+00
-6.1748616E+00,1.94336E+00
-6.1747692E+00,1.92383E+00
-6.1746768E+00,1.90430E+00
-6.1745844E+00,1.96289E+00
-6.1744920E+00,2.00195E+00
-6.1743996E+00,1.98242E+00
-6.1743072E+00,1.92383E+00
-6.1742148E+00,2.00195E+00
-6.1741224E+00,1.88477E+00
-6.1740300E+00,1.94336E+00
-6.1739376E+00,1.98242E+00
-6.1738452E+00,2.02148E+00
-6.1737528E+00,1.98242E+00
-6.1736604E+00,2.06055E+00
-6.1735680E+00,1.94336E+00
-6.1734756E+00,1.92383E+00
-6.1733832E+00,1.98242E+00
-6.1732908E+00,1.96289E+00
-6.1731984E+00,1.92383E+00
-6.1731060E+00,1.98242E+00
-6.1730136E+00,2.00195E+00
-6.1729212E+00,1.92383E+00
-6.1728288E+00,1.88477E+00
-6.1727364E+00,1.94336E+00
-6.1726440E+00,1.80664E+00
-6.1725516E+00,1.92383E+00
-6.1724592E+00,2.00195E+00
-6.1723668E+00,2.00195E+00
-6.1722744E+00,1.80664E+00
-6.1721820E+00,1.94336E+00
-6.1720896E+00,2.00195E+00
-6.1719972E+00,1.92383E+00
-6.1719048E+00,1.94336E+00
-6.1718124E+00,1.84570E+00
-6.1717200E+00,1.94336E+00
-6.1716276E+00,1.94336E+00
-6.1715352E+00,1.92383E+00
-6.1714428E+00,1.94336E+00
-6.1713504E+00,1.94336E+00
-6.1712580E+00,1.96289E+00
-6.1711656E+00,1.92383E+00
-6.1710732E+00,1.92383E+00
-6.1709808E+00,1.98242E+00
-6.1708884E+00,1.98242E+00
-6.1707960E+00,1.80664E+00
-6.1707036E+00,2.02148E+00
-6.1706112E+00,1.94336E+00
-6.1705188E+00,1.88477E+00
-6.1704264E+00,1.88477E+00
-6.1703340E+00,2.02148E+00
-6.1702416E+00,1.94336E+00
-6.1701492E+00,1.94336E+00
-6.1700568E+00,1.94336E+00
-6.1699644E+00,1.94336E+00
-6.1698720E+00,1.94336E+00
-6.1697796E+00,2.00195E+00
-6.1696872E+00,1.90430E+00
-6.1695948E+00,1.92383E+00
-6.1695024E+00,1.86523E+00
-6.1694100E+00,1.92383E+00
-6.1693176E+00,1.94336E+00
-6.1692252E+00,1.96289E+00
-6.1691328E+00,1.88477E+00
