in s,C1 in V
-1.3968569E+00,-6.70898E+00
-1.3968384E+00,-6.74805E+00
-1.3968199E+00,-6.76758E+00
-1.3968014E+00,-6.80664E+00
-1.3967830E+00,-6.74805E+00
-1.3967645E+00,-6.70898E+00
-1.3967460E+00,-6.76758E+00
-1.3967275E+00,-6.70898E+00
-1.3967090E+00,-6.66992E+00
-1.3966906E+00,-6.74805E+00
-1.3966721E+00,-6.74805E+00
-1.3966536E+00,-6.76758E+00
-1.3966351E+00,-6.80664E+00
-1.3966166E+00,-6.80664E+00
-1.3965982E+00,-6.82617E+00
-1.3965797E+00,-6.74805E+00
-1.3965612E+00,-6.80664E+00
-1.3965427E+00,-6.80664E+00
-1.3965242E+00,-6.88477E+00
-1.3965058E+00,-6.84570E+00
-1.3964873E+00,-6.94336E+00
-1.3964688E+00,-6.84570E+00
-1.3964503E+00,-6.80664E+00
-1.3964318E+00,-6.82617E+00
-1.3964134E+00,-6.92383E+00
-1.3963949E+00,-6.82617E+00
-1.3963764E+00,-6.94336E+00
-1.3963579E+00,-6.82617E+00
-1.3963394E+00,-6.88477E+00
-1.3963210E+00,-6.82617E+00
-1.3963025E+00,-6.84570E+00
-1.3962840E+00,-6.82617E+00
-1.3962655E+00,-6.88477E+00
-1.3962470E+00,-6.82617E+00
-1.3962286E+00,-6.84570E+00
-1.3962101E+00,-6.84570E+00
-1.3961916E+00,-6.84570E+00
-1.3961731E+00,-6.82617E+00
-1.3961546E+00,-6.94336E+00
-1.3961362E+00,-6.84570E+00
-1.3961177E+00,-6.82617E+00
-1.3960992E+00,-6.82617E+00
-1.3960807E+00,-6.88477E+00
-1.3960622E+00,-6.80664E+00
-1.3960438E+00,-6.82617E+00
-1.3960253E+00,-6.88477E+00
-1.3960068E+00,-6.82617E+00
-1.3959883E+00,-6.86523E+00
-1.3959698E+00,-6.80664E+00
-1.3959514E+00,-6.82617E+00
-1.3959329E+00,-6.84570E+00
-1.3959144E+00,-6.84570E+00
-1.3958959E+00,-6.82617E+00
-1.3958774E+00,-6.86523E+00
-1.3958590E+00,-6.84570E+00
-1.3958405E+00,-6.80664E+00
-1.3958220E+00,-6.82617E+00
-1.3958035E+00,-6.82617E+00
-1.3957850E+00,-6.84570E+00
-1.3957666E+00,-6.80664E+00
-1.3957481E+00,-6.82617E+00
-1.3957296E+00,-6.76758E+00
-1.3957111E+00,-6.80664E+00
-1.3956926E+00,-6.80664E+00
-1.3956742E+00,-6.74805E+00
-1.3956557E+00,-6.78711E+00
-1.3956372E+00,-6.78711E+00
-1.3956187E+00,-6.78711E+00
-1.3956002E+00,-6.82617E+00
-1.3955818E+00,-6.78711E+00
-1.3955633E+00,-6.78711E+00
-1.3955448E+00,-6.80664E+00
-1.3955263E+00,-6.78711E+00
-1.3955078E+00,-6.74805E+00
-1.3954894E+00,-6.76758E+00
-1.3954709E+00,-6.76758E+00
-1.3954524E+00,-6.72852E+00
-1.3954339E+00,-6.76758E+00
-1.3954154E+00,-6.74805E+00
-1.3953970E+00,-6.78711E+00
-1.3953785E+00,-6.68945E+00
-1.3953600E+00,-6.68945E+00
-1.3953415E+00,-6.63086E+00
-1.3953230E+00,-6.76758E+00
-1.3953046E+00,-6.80664E+00
-1.3952861E+00,-6.80664E+00
-1.3952676E+00,-6.68945E+00
-1.3952491E+00,-6.80664E+00
-1.3952306E+00,-6.76758E+00
-1.3952122E+00,-6.78711E+00
-1.3951937E+00,-6.72852E+00
-1.3951752E+00,-6.80664E+00
-1.3951567E+00,-6.72852E+00
-1.3951382E+00,-6.78711E+00
-1.3951198E+00,-6.68945E+00
-1.3951013E+00,-6.74805E+00
-1.3950828E+00,-6.82617E+00
-1.3950643E+00,-6.66992E+00
-1.3950458E+00,-6.78711E+00
-1.3950274E+00,-6.78711E+00
-1.3950089E+00,-6.78711E+00
-1.3949904E+00,-6.72852E+00
-1.3949719E+00,-6.80664E+00
-1.3949534E+00,-6.76758E+00
-1.3949350E+00,-6.74805E+00
-1.3949165E+00,-6.78711E+00
-1.3948980E+00,-6.65039E+00
-1.3948795E+00,-6.82617E+00
-1.3948610E+00,-6.76758E+00
-1.3948426E+00,-6.78711E+00
-1.3948241E+00,-6.76758E+00
-1.3948056E+00,-6.82617E+00
-1.3947871E+00,-6.76758E+00
-1.3947686E+00,-6.72852E+00
-1.3947502E+00,-6.76758E+00
-1.3947317E+00,-6.72852E+00
-1.3947132E+00,-6.68945E+00
-1.3946947E+00,-6.78711E+00
-1.3946762E+00,-6.74805E+00
-1.3946578E+00,-6.80664E+00
-1.3946393E+00,-6.76758E+00
-1.3946208E+00,-6.80664E+00
-1.3946023E+00,-6.84570E+00
-1.3945838E+00,-6.80664E+00
-1.3945654E+00,-6.80664E+00
-1.3945469E+00,-6.80664E+00
-1.3945284E+00,-6.86523E+00
-1.3945099E+00,-6.86523E+00
-1.3944914E+00,-6.84570E+00
-1.3944730E+00,-6.78711E+00
-1.3944545E+00,-6.94336E+00
-1.3944360E+00,-6.82617E+00
-1.3944175E+00,-6.88477E+00
-1.3943990E+00,-6.88477E+00
-1.3943806E+00,-6.86523E+00
-1.3943621E+00,-6.80664E+00
-1.3943436E+00,-6.92383E+00
-1.3943251E+00,-6.94336E+00
-1.3943066E+00,-6.94336E+00
-1.3942882E+00,-6.88477E+00
-1.3942697E+00,-6.76758E+00
-1.3942512E+00,-6.84570E+00
-1.3942327E+00,-6.86523E+00
-1.3942142E+00,-6.82617E+00
-1.3941958E+00,-6.80664E+00
-1.3941773E+00,-6.90430E+00
-1.3941588E+00,-6.94336E+00
-1.3941403E+00,-6.84570E+00
-1.3941218E+00,-6.84570E+00
-1.3941034E+00,-6.88477E+00
-1.3940849E+00,-6.86523E+00
-1.3940664E+00,-6.84570E+00
-1.3940479E+00,-6.88477E+00
-1.3940294E+00,-6.88477E+00
-1.3940110E+00,-6.80664E+00
-1.3939925E+00,-6.94336E+00
-1.3939740E+00,-6.88477E+00
-1.3939555E+00,-6.80664E+00
-1.3939370E+00,-6.86523E+00
-1.3939186E+00,-6.82617E+00
-1.3939001E+00,-6.82617E+00
-1.3938816E+00,-6.76758E+00
-1.3938631E+00,-6.84570E+00
-1.3938446E+00,-6.80664E+00
-1.3938262E+00,-6.72852E+00
-1.3938077E+00,-6.80664E+00
-1.3937892E+00,-6.84570E+00
-1.3937707E+00,-6.78711E+00
-1.3937522E+00,-6.72852E+00
-1.3937338E+00,-6.80664E+00
-1.3937153E+00,-6.82617E+00
-1.3936968E+00,-6.76758E+00
-1.3936783E+00,-6.82617E+00
-1.3936598E+00,-6.74805E+00
-1.3936414E+00,-6.70898E+00
-1.3936229E+00,-6.74805E+00
-1.3936044E+00,-6.74805E+00
-1.3935859E+00,-6.78711E+00
-1.3935674E+00,-6.76758E+00
-1.3935490E+00,-6.80664E+00
-1.3935305E+00,-6.76758E+00
-1.3935120E+00,-6.72852E+00
-1.3934935E+00,-6.74805E+00
-1.3934750E+00,-6.68945E+00
-1.3934566E+00,-6.70898E+00
-1.3934381E+00,-6.74805E+00
-1.3934196E+00,-6.76758E+00
-1.3934011E+00,-6.66992E+00
-1.3933826E+00,-6.65039E+00
-1.3933642E+00,-6.72852E+00
-1.3933457E+00,-6.72852E+00
-1.3933272E+00,-6.72852E+00
-1.3933087E+00,-6.76758E+00
-1.3932902E+00,-6.80664E+00
-1.3932718E+00,-6.82617E+00
-1.3932533E+00,-6.66992E+00
-1.3932348E+00,-6.78711E+00
-1.3932163E+00,-6.84570E+00
-1.3931978E+00,-6.82617E+00
-1.3931794E+00,-6.80664E+00
-1.3931609E+00,-6.72852E+00
