in s,C1 in V
-1.3966862E+00,8.32520E+00
-1.3966679E+00,8.61816E+00
-1.3966495E+00,8.42285E+00
-1.3966312E+00,8.37402E+00
-1.3966128E+00,8.37402E+00
-1.3965944E+00,8.42285E+00
-1.3965761E+00,8.32520E+00
-1.3965577E+00,8.32520E+00
-1.3965394E+00,8.27637E+00
-1.3965210E+00,8.47168E+00
-1.3965026E+00,8.42285E+00
-1.3964843E+00,8.22754E+00
-1.3964659E+00,8.42285E+00
-1.3964476E+00,8.56934E+00
-1.3964292E+00,8.37402E+00
-1.3964108E+00,8.66699E+00
-1.3963925E+00,8.22754E+00
-1.3963741E+00,8.52051E+00
-1.3963558E+00,8.42285E+00
-1.3963374E+00,8.27637E+00
-1.3963190E+00,8.22754E+00
-1.3963007E+00,8.27637E+00
-1.3962823E+00,8.52051E+00
-1.3962640E+00,8.37402E+00
-1.3962456E+00,8.42285E+00
-1.3962272E+00,8.42285E+00
-1.3962089E+00,8.42285E+00
-1.3961905E+00,8.47168E+00
-1.3961722E+00,8.37402E+00
-1.3961538E+00,8.22754E+00
-1.3961354E+00,8.42285E+00
-1.3961171E+00,8.32520E+00
-1.3960987E+00,8.47168E+00
-1.3960804E+00,8.37402E+00
-1.3960620E+00,8.42285E+00
-1.3960436E+00,8.32520E+00
-1.3960253E+00,8.22754E+00
-1.3960069E+00,8.37402E+00
-1.3959886E+00,8.37402E+00
-1.3959702E+00,8.22754E+00
-1.3959518E+00,8.37402E+00
-1.3959335E+00,8.27637E+00
-1.3959151E+00,8.37402E+00
-1.3958968E+00,8.42285E+00
-1.3958784E+00,8.42285E+00
-1.3958600E+00,8.42285E+00
-1.3958417E+00,8.42285E+00
-1.3958233E+00,8.71582E+00
-1.3958050E+00,8.22754E+00
-1.3957866E+00,8.32520E+00
-1.3957682E+00,8.47168E+00
-1.3957499E+00,8.27637E+00
-1.3957315E+00,8.27637E+00
-1.3957132E+00,8.42285E+00
-1.3956948E+00,8.42285E+00
-1.3956764E+00,8.27637E+00
-1.3956581E+00,8.32520E+00
-1.3956397E+00,8.32520E+00
-1.3956214E+00,8.27637E+00
-1.3956030E+00,8.32520E+00
-1.3955846E+00,8.37402E+00
-1.3955663E+00,8.22754E+00
-1.3955479E+00,8.42285E+00
-1.3955296E+00,8.42285E+00
-1.3955112E+00,8.32520E+00
-1.3954928E+00,8.42285E+00
-1.3954745E+00,8.27637E+00
-1.3954561E+00,8.27637E+00
-1.3954378E+00,8.22754E+00
-1.3954194E+00,8.32520E+00
-1.3954010E+00,8.42285E+00
-1.3953827E+00,8.27637E+00
-1.3953643E+00,8.22754E+00
-1.3953460E+00,8.47168E+00
-1.3953276E+00,8.27637E+00
-1.3953092E+00,8.37402E+00
-1.3952909E+00,8.22754E+00
-1.3952725E+00,8.37402E+00
-1.3952542E+00,8.42285E+00
-1.3952358E+00,8.27637E+00
-1.3952174E+00,8.37402E+00
-1.3951991E+00,8.52051E+00
-1.3951807E+00,8.32520E+00
-1.3951624E+00,8.37402E+00
-1.3951440E+00,8.22754E+00
-1.3951256E+00,8.22754E+00
-1.3951073E+00,8.22754E+00
